[2025/05/29 10:47:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:11] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:11] - 0.01 	 0.40 	 7.93 	 390      	 0.0114 	 0.8949

[2025/05/29 10:52:20] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:20] - 0.02 	 0.10 	 7.64 	 107      	 0.9806 	 0.9325

[2025/05/29 10:52:29] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:29] - 0.02 	 0.11 	 7.63 	 116      	 0.9866 	 0.9317

[2025/05/29 10:52:38] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:38] - 0.02 	 0.12 	 8.09 	 128      	 0.9880 	 0.9300

[2025/05/29 10:52:47] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:47] - 0.02 	 0.13 	 7.58 	 135      	 0.9297 	 0.9259

[2025/05/29 10:52:56] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:52:56] - 0.02 	 0.14 	 7.64 	 140      	 0.9320 	 0.9261

[2025/05/29 10:53:04] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:04] - 0.02 	 0.15 	 7.63 	 142      	 0.9326 	 0.9271

[2025/05/29 10:53:13] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:13] - 0.02 	 0.16 	 7.68 	 148      	 0.8878 	 0.9271

[2025/05/29 10:53:22] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:22] - 0.02 	 0.17 	 7.65 	 158      	 0.8752 	 0.9283

[2025/05/29 10:53:31] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:31] - 0.02 	 0.18 	 7.94 	 167      	 0.6494 	 0.9259

[2025/05/29 10:53:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:39] - 0.02 	 0.19 	 7.67 	 174      	 0.6122 	 0.9271

[2025/05/29 10:53:48] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:48] - 0.02 	 0.20 	 7.88 	 185      	 0.6063 	 0.9257

[2025/05/29 10:53:57] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:53:57] - 0.02 	 0.21 	 7.74 	 194      	 0.5964 	 0.9214

[2025/05/29 10:54:06] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:06] - 0.02 	 0.22 	 7.84 	 207      	 0.4667 	 0.9201

[2025/05/29 10:54:15] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:15] - 0.02 	 0.23 	 7.85 	 216      	 0.5117 	 0.9207

[2025/05/29 10:54:24] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:24] - 0.02 	 0.24 	 7.91 	 225      	 0.5570 	 0.9181

[2025/05/29 10:54:33] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:33] - 0.02 	 0.25 	 7.77 	 233      	 0.5381 	 0.9189

[2025/05/29 10:54:42] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:42] - 0.02 	 0.26 	 7.79 	 244      	 0.5536 	 0.9192

[2025/05/29 10:54:51] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:54:51] - 0.02 	 0.27 	 8.13 	 250      	 0.5656 	 0.9187

[2025/05/29 10:55:00] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:00] - 0.02 	 0.28 	 7.88 	 260      	 0.5251 	 0.9169

[2025/05/29 10:55:10] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:10] - 0.02 	 0.29 	 8.22 	 271      	 0.3811 	 0.9167

[2025/05/29 10:55:19] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:19] - 0.02 	 0.30 	 7.77 	 285      	 0.4631 	 0.9131

[2025/05/29 10:55:28] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:28] - 0.02 	 0.31 	 7.77 	 294      	 0.4630 	 0.9111

[2025/05/29 10:55:37] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:37] - 0.02 	 0.32 	 7.87 	 302      	 0.4352 	 0.9118

[2025/05/29 10:55:46] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:46] - 0.02 	 0.33 	 7.80 	 311      	 0.3390 	 0.9102

[2025/05/29 10:55:55] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:55:55] - 0.02 	 0.34 	 8.04 	 325      	 0.2318 	 0.9077

[2025/05/29 10:56:04] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:04] - 0.02 	 0.35 	 7.84 	 330      	 0.1904 	 0.9081

[2025/05/29 10:56:13] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:13] - 0.02 	 0.36 	 7.84 	 342      	 0.0218 	 0.9043

[2025/05/29 10:56:22] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:22] - 0.02 	 0.37 	 7.86 	 353      	 0.0129 	 0.9043

[2025/05/29 10:56:31] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:31] - 0.02 	 0.38 	 8.35 	 359      	 0.0119 	 0.9043

[2025/05/29 10:56:40] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:40] - 0.02 	 0.39 	 7.89 	 378      	 0.0126 	 0.9020

[2025/05/29 10:56:49] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:49] - 0.02 	 0.40 	 7.88 	 387      	 0.0132 	 0.8990

[2025/05/29 10:56:58] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:56:58] - 0.03 	 0.10 	 7.58 	 104      	 0.6429 	 0.9312

[2025/05/29 10:57:07] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:07] - 0.03 	 0.11 	 7.57 	 110      	 0.5712 	 0.9307

[2025/05/29 10:57:15] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:15] - 0.03 	 0.12 	 7.82 	 125      	 0.6094 	 0.9280

[2025/05/29 10:57:24] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:24] - 0.03 	 0.13 	 7.67 	 131      	 0.6431 	 0.9285

[2025/05/29 10:57:33] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:33] - 0.03 	 0.14 	 7.64 	 137      	 0.6103 	 0.9280

[2025/05/29 10:57:42] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:42] - 0.03 	 0.15 	 7.60 	 142      	 0.5998 	 0.9283

[2025/05/29 10:57:50] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:50] - 0.03 	 0.16 	 7.69 	 150      	 0.6351 	 0.9272

[2025/05/29 10:57:59] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:57:59] - 0.03 	 0.17 	 7.72 	 157      	 0.6342 	 0.9273

[2025/05/29 10:58:08] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:08] - 0.03 	 0.18 	 7.79 	 165      	 0.3298 	 0.9276

[2025/05/29 10:58:17] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:17] - 0.03 	 0.19 	 7.63 	 173      	 0.3432 	 0.9261

[2025/05/29 10:58:25] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:25] - 0.03 	 0.20 	 7.83 	 182      	 0.3351 	 0.9256

[2025/05/29 10:58:34] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:34] - 0.03 	 0.21 	 7.80 	 187      	 0.2312 	 0.9252

[2025/05/29 10:58:44] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:44] - 0.03 	 0.22 	 8.13 	 196      	 0.1918 	 0.9245

[2025/05/29 10:58:53] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:58:53] - 0.03 	 0.23 	 8.52 	 205      	 0.1759 	 0.9242

[2025/05/29 10:59:02] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:02] - 0.03 	 0.24 	 7.97 	 214      	 0.1811 	 0.9231

[2025/05/29 10:59:11] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:11] - 0.03 	 0.25 	 7.69 	 222      	 0.1033 	 0.9199

[2025/05/29 10:59:20] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:20] - 0.03 	 0.26 	 8.05 	 231      	 0.1106 	 0.9198

[2025/05/29 10:59:29] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:29] - 0.03 	 0.27 	 7.73 	 240      	 0.1091 	 0.9182

[2025/05/29 10:59:38] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:38] - 0.03 	 0.28 	 7.86 	 248      	 0.0952 	 0.9155

[2025/05/29 10:59:46] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:46] - 0.03 	 0.29 	 7.74 	 256      	 0.0857 	 0.9134

[2025/05/29 10:59:55] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:59:55] - 0.03 	 0.30 	 7.73 	 267      	 0.0613 	 0.9121

[2025/05/29 11:00:04] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:04] - 0.03 	 0.31 	 7.79 	 282      	 0.0650 	 0.9110

[2025/05/29 11:00:13] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:13] - 0.03 	 0.32 	 7.76 	 292      	 0.0628 	 0.9088

[2025/05/29 11:00:22] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:22] - 0.03 	 0.33 	 7.92 	 304      	 0.0580 	 0.9066

[2025/05/29 11:00:31] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:31] - 0.03 	 0.34 	 7.85 	 313      	 0.0514 	 0.9036

[2025/05/29 11:00:40] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:40] - 0.03 	 0.35 	 8.02 	 320      	 0.0503 	 0.9007

[2025/05/29 11:00:49] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:49] - 0.03 	 0.36 	 7.99 	 328      	 0.0447 	 0.8997

[2025/05/29 11:00:58] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:00:58] - 0.03 	 0.37 	 7.85 	 342      	 0.0343 	 0.8974

[2025/05/29 11:01:07] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:07] - 0.03 	 0.38 	 7.94 	 351      	 0.0340 	 0.8976

[2025/05/29 11:01:16] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:16] - 0.03 	 0.39 	 8.44 	 366      	 0.0064 	 0.8885

[2025/05/29 11:01:25] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:25] - 0.03 	 0.40 	 7.95 	 378      	 0.0058 	 0.8900

[2025/05/29 11:01:34] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:34] - 0.04 	 0.10 	 7.98 	 111      	 0.9464 	 0.9310

[2025/05/29 11:01:43] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:43] - 0.04 	 0.11 	 7.68 	 116      	 0.9489 	 0.9293

[2025/05/29 11:01:51] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:01:51] - 0.04 	 0.12 	 7.62 	 122      	 0.8823 	 0.9275

[2025/05/29 11:02:00] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
