[2025/05/29 04:05:53] - 0.33 	 249.9 	 0.9875 	 0.2413 	 0.9193
[2025/05/29 04:10:04] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:10:04] - 0.34 	 249.9 	 0.9882 	 0.2761 	 0.9208
[2025/05/29 04:14:15] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:14:15] - 0.35 	 250.0 	 0.9868 	 0.2404 	 0.9193
[2025/05/29 04:18:26] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:18:26] - 0.36 	 249.9 	 0.9881 	 0.2342 	 0.9206
[2025/05/29 04:22:37] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:22:37] - 0.37 	 250.1 	 0.9884 	 0.1673 	 0.9197
[2025/05/29 04:26:48] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:26:48] - 0.38 	 249.9 	 0.9889 	 0.1707 	 0.9207
[2025/05/29 04:30:59] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:30:59] - 0.39 	 249.8 	 0.9883 	 0.2236 	 0.9201
[2025/05/29 04:35:10] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:35:10] - 0.40 	 249.8 	 0.9893 	 0.3970 	 0.9203
[2025/05/29 04:39:21] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:39:21] - 0.41 	 250.1 	 0.9884 	 0.2181 	 0.9190
[2025/05/29 04:43:32] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:43:32] - 0.42 	 250.0 	 0.9898 	 0.3904 	 0.9205
[2025/05/29 04:47:44] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:47:44] - 0.43 	 250.1 	 0.9895 	 0.2386 	 0.9193
[2025/05/29 04:51:54] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:51:54] - 0.44 	 249.6 	 0.9901 	 0.2140 	 0.9209
[2025/05/29 04:56:05] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:56:05] - 0.45 	 250.0 	 0.9906 	 0.1758 	 0.9184
[2025/05/29 05:00:16] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:00:16] - 0.46 	 249.9 	 0.9915 	 0.2347 	 0.9208
[2025/05/29 05:04:27] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:04:27] - 0.47 	 249.8 	 0.9912 	 0.2174 	 0.9194
[2025/05/29 05:08:38] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:08:38] - 0.48 	 250.0 	 0.9908 	 0.3130 	 0.9177
[2025/05/29 05:12:49] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:12:49] - 0.49 	 249.7 	 0.9906 	 0.2537 	 0.9172
[2025/05/29 05:17:00] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:17:00] - 0.50 	 249.8 	 0.9916 	 0.2543 	 0.9185
[2025/05/29 05:21:11] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:21:11] - 0.51 	 249.6 	 0.9924 	 0.2614 	 0.9183
[2025/05/29 05:25:22] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:25:22] - 0.52 	 249.7 	 0.9921 	 0.4206 	 0.9181
[2025/05/29 05:29:33] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:29:33] - 0.53 	 250.1 	 0.9928 	 0.3754 	 0.9185
[2025/05/29 05:33:44] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:33:44] - 0.54 	 250.0 	 0.9921 	 0.3540 	 0.9177
[2025/05/29 05:37:55] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:37:55] - 0.55 	 249.9 	 0.9928 	 0.2663 	 0.9190
[2025/05/29 05:42:06] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
