[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 22:26:43] - 4 	 0.100 	 22.8 	 1.0275 	 0.6316 	 5.4109 	 0.0454 	 0.9697 	 0.6546
[2025/05/28 22:27:05] - 5 	 0.100 	 22.8 	 0.8922 	 0.6833 	 6.1383 	 0.0340 	 0.9051 	 0.6895
[2025/05/28 22:27:28] - 6 	 0.100 	 22.8 	 0.7777 	 0.7241 	 6.6639 	 0.0349 	 0.9314 	 0.6814
[2025/05/28 22:27:51] - 7 	 0.100 	 22.8 	 0.6764 	 0.7636 	 6.3558 	 0.0366 	 0.6383 	 0.7777
[2025/05/28 22:28:14] - 8 	 0.100 	 22.8 	 0.5941 	 0.7924 	 6.6713 	 0.0520 	 0.6805 	 0.7698
[2025/05/28 22:28:37] - 9 	 0.100 	 22.8 	 0.5456 	 0.8100 	 7.1338 	 0.0303 	 0.5759 	 0.8008
[2025/05/28 22:29:00] - 10 	 0.100 	 22.8 	 0.4920 	 0.8305 	 5.6991 	 0.0787 	 0.5476 	 0.8185
[2025/05/28 22:29:22] - 11 	 0.100 	 22.8 	 0.4594 	 0.8409 	 2.4041 	 0.4540 	 0.5791 	 0.7997
[2025/05/28 22:29:45] - 12 	 0.100 	 22.8 	 0.4276 	 0.8521 	 1.8228 	 0.5208 	 0.7102 	 0.7637
[2025/05/28 22:30:08] - 13 	 0.100 	 22.8 	 0.4079 	 0.8601 	 2.5328 	 0.3669 	 0.4711 	 0.8405
[2025/05/28 22:30:31] - 14 	 0.100 	 22.8 	 0.3845 	 0.8680 	 1.0486 	 0.7243 	 0.5206 	 0.8280
[2025/05/28 22:30:54] - 15 	 0.100 	 22.9 	 0.3695 	 0.8720 	 2.1081 	 0.4454 	 0.5073 	 0.8303
[2025/05/28 22:31:17] - 16 	 0.100 	 22.9 	 0.3579 	 0.8760 	 0.9538 	 0.7012 	 0.4693 	 0.8388
[2025/05/28 22:31:39] - 17 	 0.100 	 22.8 	 0.3412 	 0.8822 	 1.5768 	 0.6133 	 0.5566 	 0.8238
[2025/05/28 22:32:02] - 18 	 0.100 	 22.8 	 0.3278 	 0.8872 	 2.3795 	 0.4100 	 0.7013 	 0.7809
[2025/05/28 22:32:25] - 19 	 0.100 	 22.8 	 0.3199 	 0.8902 	 2.0608 	 0.4758 	 0.8489 	 0.7500
[2025/05/28 22:32:48] - 20 	 0.100 	 22.8 	 0.3142 	 0.8922 	 0.2626 	 0.9269 	 0.4611 	 0.8469
[2025/05/28 22:33:11] - 21 	 0.100 	 22.8 	 0.3076 	 0.8947 	 1.9285 	 0.5244 	 0.4487 	 0.8512
[2025/05/28 22:33:34] - 22 	 0.100 	 22.8 	 0.2987 	 0.8957 	 0.0250 	 0.9908 	 0.4411 	 0.8556
[2025/05/28 22:33:56] - 23 	 0.100 	 22.8 	 0.2899 	 0.9004 	 0.3962 	 0.8766 	 0.5236 	 0.8266
[2025/05/28 22:34:19] - 24 	 0.100 	 22.8 	 0.2847 	 0.9011 	 1.6218 	 0.5750 	 0.5200 	 0.8247
[2025/05/28 22:34:42] - 25 	 0.100 	 22.9 	 0.2827 	 0.9030 	 0.4265 	 0.8699 	 0.5090 	 0.8288
[2025/05/28 22:35:05] - 26 	 0.100 	 22.8 	 0.2783 	 0.9044 	 0.4563 	 0.8667 	 0.4792 	 0.8495
[2025/05/28 22:35:28] - 27 	 0.100 	 22.8 	 0.2710 	 0.9081 	 0.0068 	 0.9979 	 0.5702 	 0.8260
[2025/05/28 22:35:51] - 28 	 0.100 	 22.8 	 0.2662 	 0.9085 	 1.6578 	 0.5372 	 0.5676 	 0.8174
[2025/05/28 22:36:13] - 29 	 0.100 	 22.8 	 0.2632 	 0.9094 	 0.5530 	 0.8444 	 0.4570 	 0.8528
[2025/05/28 22:36:36] - 30 	 0.100 	 22.8 	 0.2551 	 0.9114 	 0.8670 	 0.7658 	 0.5045 	 0.8295
[2025/05/28 22:36:59] - 31 	 0.010 	 22.8 	 0.1502 	 0.9510 	 0.5139 	 0.8280 	 0.2318 	 0.9221
[2025/05/28 22:37:22] - 32 	 0.010 	 22.8 	 0.1039 	 0.9664 	 0.8286 	 0.7404 	 0.2175 	 0.9279
[2025/05/28 22:37:45] - 33 	 0.010 	 22.8 	 0.0891 	 0.9717 	 0.7733 	 0.7569 	 0.2188 	 0.9284
[2025/05/28 22:38:07] - 34 	 0.010 	 22.8 	 0.0782 	 0.9743 	 0.5150 	 0.8194 	 0.2155 	 0.9303
[2025/05/28 22:38:30] - 35 	 0.010 	 22.8 	 0.0709 	 0.9773 	 0.5315 	 0.8147 	 0.2236 	 0.9293
[2025/05/28 22:38:53] - 36 	 0.010 	 22.8 	 0.0626 	 0.9804 	 0.3054 	 0.8834 	 0.2241 	 0.9312
[2025/05/28 22:39:16] - 37 	 0.010 	 22.8 	 0.0568 	 0.9826 	 0.5765 	 0.8001 	 0.2145 	 0.9314
[2025/05/28 22:39:39] - 38 	 0.010 	 22.9 	 0.0491 	 0.9844 	 0.5837 	 0.7953 	 0.2244 	 0.9311
[2025/05/28 22:40:01] - 39 	 0.010 	 22.8 	 0.0451 	 0.9865 	 0.4906 	 0.8252 	 0.2259 	 0.9328
[2025/05/28 22:40:24] - 40 	 0.010 	 22.8 	 0.0390 	 0.9883 	 0.5909 	 0.7859 	 0.2292 	 0.9320
[2025/05/28 22:40:47] - 41 	 0.001 	 22.8 	 0.0350 	 0.9900 	 0.5836 	 0.7927 	 0.2186 	 0.9334
[2025/05/28 22:41:10] - 42 	 0.001 	 22.8 	 0.0306 	 0.9914 	 0.4872 	 0.8218 	 0.2182 	 0.9358
[2025/05/28 22:41:33] - 43 	 0.001 	 22.8 	 0.0295 	 0.9919 	 0.5100 	 0.8153 	 0.2179 	 0.9354
[2025/05/28 22:41:56] - 44 	 0.001 	 22.8 	 0.0287 	 0.9922 	 0.4173 	 0.8472 	 0.2178 	 0.9356
[2025/05/28 22:42:18] - 45 	 0.001 	 22.8 	 0.0263 	 0.9932 	 0.3863 	 0.8544 	 0.2169 	 0.9362
[2025/05/28 22:42:41] - 46 	 0.001 	 22.8 	 0.0269 	 0.9932 	 0.4191 	 0.8462 	 0.2172 	 0.9355
[2025/05/28 22:43:04] - 47 	 0.001 	 22.8 	 0.0265 	 0.9937 	 0.4433 	 0.8377 	 0.2190 	 0.9357
[2025/05/28 22:43:27] - 48 	 0.001 	 22.8 	 0.0256 	 0.9937 	 0.4960 	 0.8191 	 0.2182 	 0.9360
[2025/05/28 22:43:50] - 49 	 0.001 	 22.8 	 0.0262 	 0.9934 	 0.4246 	 0.8429 	 0.2195 	 0.9355
